id,genres,production_companies,title,crew
862,"Animation, Comedy, Family",Pixar Animation Studios,Toy Story,John Lasseter
8844,"Adventure, Fantasy, Family","TriStar Pictures, Teitler Film, Interscope Communications",Jumanji,Joe Johnston
15602,"Romance, Comedy","Warner Bros., Lancaster Gate",Grumpier Old Men,Howard Deutch
31357,"Comedy, Drama, Romance",Twentieth Century Fox Film Corporation,Waiting to Exhale,Forest Whitaker
11862,Comedy,"Sandollar Productions, Touchstone Pictures",Father of the Bride Part II,Charles Shyer
949,"Action, Crime, Drama, Thriller","Regency Enterprises, Forward Pass, Warner Bros.",Heat,Michael Mann
11860,"Comedy, Romance","Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH",Sabrina,Sydney Pollack
45325,"Action, Adventure, Drama, Family",Walt Disney Pictures,Tom and Huck,Peter Hewitt
9091,"Action, Adventure, Thriller","Universal Pictures, Imperial Entertainment, Signature Entertainment",Sudden Death,Peter Hyams
710,"Adventure, Action, Thriller","United Artists, Eon Productions",GoldenEye,Martin Campbell
9087,"Comedy, Drama, Romance","Columbia Pictures, Castle Rock Entertainment",The American President,Rob Reiner
12110,"Comedy, Horror","Columbia Pictures, Castle Rock Entertainment, Enigma Pictures",Dracula: Dead and Loving It,Mel Brooks
21032,"Family, Animation, Adventure","Universal Pictures, Amblin Entertainment, Amblimation",Balto,Simon Wells
10858,"History, Drama","Hollywood Pictures, Cinergi Pictures Entertainment",Nixon,Oliver Stone
1408,"Action, Adventure","Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures",Cutthroat Island,Renny Harlin
524,"Drama, Crime","Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa",Casino,Martin Scorsese
4584,"Drama, Romance","Columbia Pictures Corporation, Mirage Enterprises",Sense and Sensibility,Ang Lee
5,"Crime, Comedy","Miramax Films, A Band Apart",Four Rooms,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino"
9273,"Crime, Comedy, Adventure","O Entertainment, Warner Bros., Morgan Creek Productions",Ace Ventura: When Nature Calls,Steve Oedekerk
11517,"Action, Comedy, Crime",Columbia Pictures,Money Train,Joseph Ruben
8012,"Comedy, Thriller, Crime","Jersey Films, Metro-Goldwyn-Mayer (MGM)",Get Shorty,Barry Sonnenfeld
1710,"Drama, Thriller","Regency Enterprises, New Regency Pictures",Copycat,Jon Amiel
9691,"Action, Adventure, Crime, Thriller","Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar",Assassins,Richard Donner
12665,"Drama, Fantasy, Science Fiction, Thriller","Caravan Pictures, Hollywood Pictures",Powder,Victor Salva
451,"Drama, Romance","United Artists, Intial Productions",Leaving Las Vegas,Mike Figgis
16420,Drama,"Columbia Pictures, Castle Rock Entertainment",Othello,Oliver Parker
9263,"Comedy, Drama, Family",New Line Cinema,Now and Then,Lesli Linka Glatter
17015,"Drama, Romance",BBC Films,Persuasion,Roger Michell
902,"Fantasy, Science Fiction, Adventure","Procirep, Constellation Productions, France 3 Cinéma, Claudie Ossard Productions, Eurimages, MEDIA Programme of the European Union, Cofimage 5, Televisión Española (TVE), Tele München Fernseh Produktionsgesellschaft (TMG), Club d'Investissement Média, Canal+ España, Elías Querejeta Producciones Cinematográficas S.L., Centre National de la Cinématographie (CNC), Victoires Productions, Constellation, Lumière Pictures, Canal+, Studio Image, Cofimage 4, Ossane, Phoenix Images",The City of Lost Children,"Jean-Pierre Jeunet, Marc Caro"
9909,"Drama, Crime","Hollywood Pictures, Via Rosa Productions, Don Simpson/Jerry Bruckheimer Films",Dangerous Minds,John N. Smith
